model,Ca,P,pH,SOC,Sand,MCRMSE,best_params_Ca,best_params_P,best_params_pH,best_params_SOC,best_params_Sand
lin_reg,0.5049645752975458,1.6576700943521183,0.7543211407602292,0.7051158437573091,0.7294245874734764,0.8702992483281358,,,,,
tree,0.5648514501553454,1.0588995128583363,0.6745977967977185,0.5302018230051582,0.5241819155477588,0.6705464996728635,,,,,
knn,0.3707050255092884,0.7548587025994591,0.5371621638791397,0.4639591210947606,0.4528866776324533,0.5159143381430202,,,,,
lin_reg_clipped,0.5049645752975458,1.6576700943521183,0.7543211407602292,0.7051158437573091,0.7294245874734764,0.8702992483281358,,,,,
tree_clipped,0.5648514501553454,1.0588995128583363,0.6745977967977185,0.5302018230051582,0.5241819155477588,0.6705464996728635,,,,,
knn_clipped,0.3707050255092884,0.7548587025994591,0.5371621638791397,0.4639591210947606,0.4528866776324533,0.5159143381430202,,,,,
lin_reg_bez_korelacija,0.8329978812820192,0.6988197190977719,0.6801143967048152,0.8315303328421029,0.7703700255047135,0.7627664710862845,,,,,
tree_bez_korelacija,0.5108288448240199,0.7250483854005842,0.6163802595768648,0.722614972588117,0.5259174484953628,0.6201579821769898,,,,,
knn_bez_korelacija,0.6794565588462201,0.7635625755021704,0.56808776830409,0.6291466105575492,0.543697402020544,0.6367901830461147,,,,,
random_forest_bez_korelacija,0.5372498766846031,0.9259574784895312,0.5121465750142198,0.5638544318766241,0.42161904839599795,0.5921654820921953,,,,,
xg_boost_bez_korelacija,0.5223930316940733,1.0381065811647154,0.5145140904859381,0.5949350353014508,0.4311780110421139,0.6202253499376582,,,,,
lin_reg_bez_korelacija_polynomial,0.6420833025861913,0.6988197190977719,0.6189733116872884,0.766177253697109,0.6706059297434439,0.6793319033623609,,,,,
tree_bez_korelacija_polynomial,0.5108288448240199,0.7250483854005842,0.6163802595768648,0.722614972588117,0.5259174484953628,0.6201579821769898,,,,,
knn_bez_korelacija_polynomial,0.6794565588462201,0.7635625755021704,0.56808776830409,0.6291466105575492,0.543697402020544,0.6367901830461147,,,,,
random_forest_bez_korelacija_polynomial,0.5052508850829303,0.8794649121077607,0.4978345361012628,0.56045361073149,0.41903783419293233,0.5724083556432753,,,,,
lin_reg_bez_korelacija_selection,0.8283647579786129,0.6920284204098044,0.6822460263000224,0.8581477133798922,0.8011313451718595,0.7723836526480382,,,,,
knn_bez_korelacija_selection,0.5816067254419746,0.6865540026830881,0.5371188972767886,0.6045728658702846,0.41334396574408644,0.5646392914032444,,,,,
,,,,,,,"{'model_lin_reg__fit_intercept': True, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': StandardScaler()}","{'model_lin_reg__fit_intercept': False, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': None}"
,,,,,,,"{'model_tree__ccp_alpha': 0.0025, 'model_tree__criterion': 'squared_error', 'model_tree__max_depth': 11}","{'model_tree__ccp_alpha': 0.05, 'model_tree__criterion': 'friedman_mse', 'model_tree__max_depth': 9}","{'model_tree__ccp_alpha': 0.0025, 'model_tree__criterion': 'absolute_error', 'model_tree__max_depth': 7}","{'model_tree__ccp_alpha': 0.0025, 'model_tree__criterion': 'absolute_error', 'model_tree__max_depth': 7}","{'model_tree__ccp_alpha': 0.0025, 'model_tree__criterion': 'squared_error', 'model_tree__max_depth': 11}"
,,,,,,,"{'knn__algorithm': 'kd_tree', 'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}","{'knn__algorithm': 'brute', 'knn__metric': 'minkowski', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}","{'knn__algorithm': 'brute', 'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}","{'knn__algorithm': 'kd_tree', 'knn__metric': 'minkowski', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}","{'knn__algorithm': 'brute', 'knn__metric': 'minkowski', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}"
,,,,,,,"{'model_lin_reg__fit_intercept': True, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': StandardScaler()}","{'model_lin_reg__fit_intercept': False, 'scaler': None}","{'model_lin_reg__fit_intercept': False, 'scaler': None}"
